Chhattisgarh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),235
Chhattisgarh,6.5 - Other Kidnapping,365
Chhattisgarh,7 - Foeticide (Section 315 and 316 IPC),5
Chhattisgarh,8 - Abetment of Suicide of child (Section 305 IPC),1
Chhattisgarh,9 - Exposure and Abandonment (Section 317 IPC),5
Chhattisgarh,10 - Procuration of minor girls (Section 366-A IPC),1
Chhattisgarh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Chhattisgarh,12 - Buying of minors for prostitution (Section 373 IPC),0
Chhattisgarh,13 - Selling of minors for prostitution (Section 372 IPC),2
Chhattisgarh,"14 - Prohibition of Child Marriage Act, 2006",2
Chhattisgarh,"15 - Transplantation of Human Organs Act, 1994",0
Chhattisgarh,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Chhattisgarh,16.1 - Offences committed against Migrant,0
Chhattisgarh,16.1.1 - Offences committed against SC migrants,0
Chhattisgarh,16.1.2 - Offences committed against ST migrants,0
Chhattisgarh,16.1.3 - Offences committed against others migrants,0
Chhattisgarh,16.2 - Offences committed against Locals,0
Chhattisgarh,16.2.1 - Offences committed against Local SCs,0
Chhattisgarh,16.2.2 - Offences committed against Local STs,0
Chhattisgarh,16.2.3 - Offences committed against others locals,0
Chhattisgarh,"17 - Immoral Traffic (Prevention) Act, 1956",0
Chhattisgarh,17.1 - Under ITP Section 5,0
Chhattisgarh,17.2 - Under ITP Section 6,0
Chhattisgarh,17.3 - Under ITP Section 7,0
Chhattisgarh,17.4 - Under ITP Section 8,0
Chhattisgarh,17.5 - Other Section under ITP Act,0
Chhattisgarh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",0
Chhattisgarh,"19 - Protection of Children from Sexual Offences Act, 2012",417
Chhattisgarh,19.1 - Under PCSO Act Section 4,190
Chhattisgarh,19.2 - Under PCSO Act Section 6,21
Chhattisgarh,19.4 - Under PCSO Act Section 10,87
Chhattisgarh,19.3 - Under PCSO Act Section 8,39
Chhattisgarh,19.5 - Under PCSO Act Sections 14 & 15,1
Chhattisgarh,19.6 - Other Acts of PCSO,79
Chhattisgarh,20 - Attempt to commit Murder u/s 307 IPC,84
Chhattisgarh,21 - Unnatural Offences u/s 377 IPC,19
Chhattisgarh,22 - Other crimes committed against children,656
Chhattisgarh,23 - Total crimes against Children,4358
Goa,1 - Murder (Section 302 and 303 IPC),3
Goa,2 - Infanticide (Section 315 IPC),0
Goa,3 - Rape,57
Goa,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),40
Goa,4.1 - Sexual Harassment (Section 354A IPC),14
Goa,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2
Goa,4.3 - Voyeurism (Section 354C IPC),1
Goa,4.4 - Stalking (Section 354D IPC),7
Goa,4.5 - Others assault,16
Goa,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),6
Goa,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",134
Goa,6.1 - Kidnapping & Abduction (Section 363 IPC),126
Goa,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Goa,6.3 - Kidnapping for Ransom (Section 364A IPC),0
Goa,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),0
Goa,6.5 - Other Kidnapping,8
Goa,7 - Foeticide (Section 315 and 316 IPC),0
Goa,8 - Abetment of Suicide of child (Section 305 IPC),1
Goa,9 - Exposure and Abandonment (Section 317 IPC),3
Goa,10 - Procuration of minor girls (Section 366-A IPC),0
Goa,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Goa,12 - Buying of minors for prostitution (Section 373 IPC),0
Goa,13 - Selling of minors for prostitution (Section 372 IPC),0
Goa,"14 - Prohibition of Child Marriage Act, 2006",0
Goa,"15 - Transplantation of Human Organs Act, 1994",0
Goa,"16 - Child Labour (Prohibition & Regulation) Act, 1986",1
Goa,16.1 - Offences committed against Migrant,1
Goa,16.1.1 - Offences committed against SC migrants,0
Goa,16.1.2 - Offences committed against ST migrants,0
Goa,16.1.3 - Offences committed against others migrants,1
Goa,16.2 - Offences committed against Locals,0
Goa,16.2.1 - Offences committed against Local SCs,0
Goa,16.2.2 - Offences committed against Local STs,0
Goa,16.2.3 - Offences committed against others locals,0
Goa,"17 - Immoral Traffic (Prevention) Act, 1956",0
Goa,17.1 - Under ITP Section 5,0
Goa,17.2 - Under ITP Section 6,0
Goa,17.3 - Under ITP Section 7,0
Goa,17.4 - Under ITP Section 8,0
Goa,17.5 - Other Section under ITP Act,0
Goa,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",1
Goa,"19 - Protection of Children from Sexual Offences Act, 2012",4
Goa,19.1 - Under PCSO Act Section 4,0
Goa,19.2 - Under PCSO Act Section 6,0
Goa,19.4 - Under PCSO Act Section 10,4
Goa,19.3 - Under PCSO Act Section 8,0
Goa,19.5 - Under PCSO Act Sections 14 & 15,0
Goa,19.6 - Other Acts of PCSO,0
Goa,20 - Attempt to commit Murder u/s 307 IPC,2
Goa,21 - Unnatural Offences u/s 377 IPC,0
Goa,22 - Other crimes committed against children,78
Goa,23 - Total crimes against Children,330
Gujarat,1 - Murder (Section 302 and 303 IPC),82
Gujarat,2 - Infanticide (Section 315 IPC),1
Gujarat,3 - Rape,291
Gujarat,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),202
Gujarat,4.1 - Sexual Harassment (Section 354A IPC),99
Gujarat,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),5
Gujarat,4.3 - Voyeurism (Section 354C IPC),0
Gujarat,4.4 - Stalking (Section 354D IPC),20
Gujarat,4.5 - Others assault,78
Gujarat,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2
Gujarat,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",2101
Gujarat,6.1 - Kidnapping & Abduction (Section 363 IPC),818
Gujarat,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Gujarat,6.3 - Kidnapping for Ransom (Section 364A IPC),8
Gujarat,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),1047
Gujarat,6.5 - Other Kidnapping,228
Gujarat,7 - Foeticide (Section 315 and 316 IPC),0
Gujarat,8 - Abetment of Suicide of child (Section 305 IPC),0
Gujarat,9 - Exposure and Abandonment (Section 317 IPC),87
Gujarat,10 - Procuration of minor girls (Section 366-A IPC),0
Gujarat,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Gujarat,12 - Buying of minors for prostitution (Section 373 IPC),0
Gujarat,13 - Selling of minors for prostitution (Section 372 IPC),0
Gujarat,"14 - Prohibition of Child Marriage Act, 2006",16
Gujarat,"15 - Transplantation of Human Organs Act, 1994",0
Gujarat,"16 - Child Labour (Prohibition & Regulation) Act, 1986",2
Gujarat,16.1 - Offences committed against Migrant,0
Gujarat,16.1.1 - Offences committed against SC migrants,0
Gujarat,16.1.2 - Offences committed against ST migrants,0
Gujarat,16.1.3 - Offences committed against others migrants,0
Gujarat,16.2 - Offences committed against Locals,2
Gujarat,16.2.1 - Offences committed against Local SCs,0
Gujarat,16.2.2 - Offences committed against Local STs,0
Gujarat,16.2.3 - Offences committed against others locals,2
Gujarat,"17 - Immoral Traffic (Prevention) Act, 1956",1
Gujarat,17.1 - Under ITP Section 5,0
Gujarat,17.2 - Under ITP Section 6,0
Gujarat,17.3 - Under ITP Section 7,0
Gujarat,17.4 - Under ITP Section 8,1
Gujarat,17.5 - Other Section under ITP Act,0
Gujarat,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",89
Gujarat,"19 - Protection of Children from Sexual Offences Act, 2012",118
Gujarat,19.1 - Under PCSO Act Section 4,55
Gujarat,19.2 - Under PCSO Act Section 6,37
Gujarat,19.4 - Under PCSO Act Section 10,5
Gujarat,19.3 - Under PCSO Act Section 8,5
Gujarat,19.5 - Under PCSO Act Sections 14 & 15,3
Gujarat,19.6 - Other Acts of PCSO,13
Gujarat,20 - Attempt to commit Murder u/s 307 IPC,19
Gujarat,21 - Unnatural Offences u/s 377 IPC,17
Gujarat,22 - Other crimes committed against children,191
Gujarat,23 - Total crimes against Children,3219
Haryana,1 - Murder (Section 302 and 303 IPC),56
Haryana,2 - Infanticide (Section 315 IPC),3
Haryana,3 - Rape,416
Haryana,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),286
Haryana,4.1 - Sexual Harassment (Section 354A IPC),118
Haryana,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),37
Haryana,4.3 - Voyeurism (Section 354C IPC),4
Haryana,4.4 - Stalking (Section 354D IPC),50
Haryana,4.5 - Others assault,77
Haryana,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),2
Haryana,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",816
Haryana,6.1 - Kidnapping & Abduction (Section 363 IPC),113
Haryana,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),7
Haryana,6.3 - Kidnapping for Ransom (Section 364A IPC),3
Haryana,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),252
Haryana,6.5 - Other Kidnapping,441
Haryana,7 - Foeticide (Section 315 and 316 IPC),6
Haryana,8 - Abetment of Suicide of child (Section 305 IPC),3
Haryana,9 - Exposure and Abandonment (Section 317 IPC),36
Haryana,10 - Procuration of minor girls (Section 366-A IPC),277
Haryana,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Haryana,12 - Buying of minors for prostitution (Section 373 IPC),1
Haryana,13 - Selling of minors for prostitution (Section 372 IPC),0
Haryana,"14 - Prohibition of Child Marriage Act, 2006",15
Haryana,"15 - Transplantation of Human Organs Act, 1994",0
Haryana,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Haryana,16.1 - Offences committed against Migrant,0
Haryana,16.1.1 - Offences committed against SC migrants,0
Haryana,16.1.2 - Offences committed against ST migrants,0
Haryana,16.1.3 - Offences committed against others migrants,0
Haryana,16.2 - Offences committed against Locals,0
Haryana,16.2.1 - Offences committed against Local SCs,0
Haryana,16.2.2 - Offences committed against Local STs,0
Haryana,16.2.3 - Offences committed against others locals,0
Haryana,"17 - Immoral Traffic (Prevention) Act, 1956",2
Haryana,17.1 - Under ITP Section 5,0
Haryana,17.2 - Under ITP Section 6,0
Haryana,17.3 - Under ITP Section 7,0
Haryana,17.4 - Under ITP Section 8,0
Haryana,17.5 - Other Section under ITP Act,2
Haryana,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",32
Haryana,"19 - Protection of Children from Sexual Offences Act, 2012",3
Haryana,19.1 - Under PCSO Act Section 4,1
Haryana,19.2 - Under PCSO Act Section 6,0
Haryana,19.4 - Under PCSO Act Section 10,1
Haryana,19.3 - Under PCSO Act Section 8,0
Haryana,19.5 - Under PCSO Act Sections 14 & 15,0
Haryana,19.6 - Other Acts of PCSO,1
Haryana,20 - Attempt to commit Murder u/s 307 IPC,30
Haryana,21 - Unnatural Offences u/s 377 IPC,108
Haryana,22 - Other crimes committed against children,448
Haryana,23 - Total crimes against Children,2540
Himachal Pradesh,1 - Murder (Section 302 and 303 IPC),7
Himachal Pradesh,2 - Infanticide (Section 315 IPC),0
Himachal Pradesh,3 - Rape,135
Himachal Pradesh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),51
Himachal Pradesh,4.1 - Sexual Harassment (Section 354A IPC),21
Himachal Pradesh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2
Himachal Pradesh,4.3 - Voyeurism (Section 354C IPC),0
Himachal Pradesh,4.4 - Stalking (Section 354D IPC),7
Himachal Pradesh,4.5 - Others assault,21
Himachal Pradesh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),1
Himachal Pradesh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",210
Himachal Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),58
Himachal Pradesh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),3
Himachal Pradesh,6.3 - Kidnapping for Ransom (Section 364A IPC),1
Himachal Pradesh,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),109
Himachal Pradesh,6.5 - Other Kidnapping,39
Himachal Pradesh,7 - Foeticide (Section 315 and 316 IPC),4
Himachal Pradesh,8 - Abetment of Suicide of child (Section 305 IPC),2
Himachal Pradesh,9 - Exposure and Abandonment (Section 317 IPC),8
